image_id,perception,lat,lon,city,wins,total,Q,label
50e748e2d7c3df413b00139f,aesthetic,12.526315999999952,55.713202,Copenhagen,4,4,1.0,1
50e748e2d7c3df413b0013a5,aesthetic,12.543086000000017,55.67353,Copenhagen,4,4,1.0,1
50e748e2d7c3df413b0013a6,aesthetic,12.546335,55.70411,Copenhagen,1,6,0.16666666666666666,0
50e748e2d7c3df413b0013a8,aesthetic,12.552437000000054,55.687702,Copenhagen,4,5,0.8,1
50e748e3d7c3df413b0013b4,aesthetic,12.514634999999998,55.708676,Copenhagen,0,3,0.0,0
50e748e4d7c3df413b0013bc,aesthetic,12.538501999999994,55.712535,Copenhagen,4,4,1.0,1
50e748e4d7c3df413b0013c6,aesthetic,12.541852000000064,55.730867,Copenhagen,0,3,0.0,0
50e748e4d7c3df413b0013cc,aesthetic,12.592362999999978,55.702179,Copenhagen,0,4,0.0,0
50e748e4d7c3df413b0013ce,aesthetic,12.582445000000009,55.681874,Copenhagen,4,4,1.0,1
50e748e4d7c3df413b0013cf,aesthetic,12.543597999999974,55.68797,Copenhagen,4,4,1.0,1
50e748e4d7c3df413b0013d0,aesthetic,12.63478699999996,55.657078,Copenhagen,5,5,1.0,1
50e748e4d7c3df413b0013d7,aesthetic,12.565965000000006,55.656599,Copenhagen,1,5,0.2,0
50e748e5d7c3df413b0013dc,aesthetic,12.508438999999951,55.723492,Copenhagen,4,5,0.8,1
50e748e5d7c3df413b0013e1,aesthetic,12.620638999999985,55.644725,Copenhagen,8,9,0.8888888888888888,1
50e748e5d7c3df413b0013e6,aesthetic,12.55286000000001,55.698685,Copenhagen,4,5,0.8,1
50e748e6d7c3df413b0013f2,aesthetic,12.59263599999997,55.708949,Copenhagen,0,7,0.0,0
50e748e6d7c3df413b0013f8,aesthetic,12.51697999999999,55.711074,Copenhagen,5,5,1.0,1
50e748e6d7c3df413b0013f9,aesthetic,12.597072000000026,55.708084,Copenhagen,1,6,0.16666666666666666,0
50e748e6d7c3df413b001402,aesthetic,12.55900500000007,55.715142,Copenhagen,0,4,0.0,0
50e748e6d7c3df413b00140d,aesthetic,12.547162999999957,55.710349,Copenhagen,5,6,0.8333333333333334,1
50e748e6d7c3df413b00140f,aesthetic,12.62156200000004,55.6598,Copenhagen,1,5,0.2,0
50e748e6d7c3df413b001412,aesthetic,12.619154999999978,55.639996,Copenhagen,4,5,0.8,1
50e748e6d7c3df413b001415,aesthetic,12.606613000000038,55.641023,Copenhagen,4,4,1.0,1
50e748e6d7c3df413b001418,aesthetic,12.496886000000018,55.710313,Copenhagen,3,3,1.0,1
50e748e6d7c3df413b001419,aesthetic,12.574075999999993,55.697632,Copenhagen,0,4,0.0,0
50e748e8d7c3df413b001420,aesthetic,12.617884000000004,55.639168,Copenhagen,0,3,0.0,0
50e748e8d7c3df413b001421,aesthetic,12.61339799999996,55.693773,Copenhagen,4,4,1.0,1
50e748e8d7c3df413b001424,aesthetic,12.587137999999982,55.706872,Copenhagen,0,4,0.0,0
50e748e8d7c3df413b001426,aesthetic,12.49842799999999,55.707149,Copenhagen,5,6,0.8333333333333334,1
50e748e9d7c3df413b00142e,aesthetic,12.561423999999988,55.671519,Copenhagen,3,3,1.0,1
50e748e9d7c3df413b00142f,aesthetic,12.591139999999996,55.636133,Copenhagen,6,6,1.0,1
50e748e9d7c3df413b001431,aesthetic,12.65284900000006,55.631957,Copenhagen,0,5,0.0,0
50e748e9d7c3df413b001432,aesthetic,12.61569499999996,55.650862,Copenhagen,6,6,1.0,1
50e748e9d7c3df413b001436,aesthetic,12.564352999999985,55.664171,Copenhagen,0,4,0.0,0
50e748e9d7c3df413b001446,aesthetic,12.51883799999996,55.72784,Copenhagen,6,6,1.0,1
50e748e9d7c3df413b00144e,aesthetic,12.59709799999996,55.690638,Copenhagen,5,5,1.0,1
50e748e9d7c3df413b001450,aesthetic,12.531877000000009,55.716615,Copenhagen,4,5,0.8,1
50e748e9d7c3df413b001455,aesthetic,12.569598000000042,55.705229,Copenhagen,5,5,1.0,1
50e748e9d7c3df413b001456,aesthetic,12.580899000000043,55.689353,Copenhagen,4,4,1.0,1
50e748ead7c3df413b001468,aesthetic,12.528864,55.713444,Copenhagen,4,4,1.0,1
50e748ead7c3df413b00146a,aesthetic,12.503323000000025,55.723777,Copenhagen,4,4,1.0,1
50e748ead7c3df413b00146b,aesthetic,12.60214099999996,55.635277,Copenhagen,5,6,0.8333333333333334,1
50e748ead7c3df413b00146c,aesthetic,12.53761499999996,55.7312,Copenhagen,4,4,1.0,1
50e748ead7c3df413b001474,aesthetic,12.534573000000025,55.715348,Copenhagen,0,3,0.0,0
50e748ead7c3df413b001475,aesthetic,12.592024000000038,55.636925,Copenhagen,0,3,0.0,0
50e748ead7c3df413b001477,aesthetic,12.511809999999969,55.705359,Copenhagen,4,5,0.8,1
50e748ead7c3df413b001478,aesthetic,12.629016999999976,55.660527,Copenhagen,0,3,0.0,0
50e748ead7c3df413b00147a,aesthetic,12.578344000000016,55.724833,Copenhagen,3,3,1.0,1
50e748ead7c3df413b00147f,aesthetic,12.545393999999987,55.734241,Copenhagen,5,6,0.8333333333333334,1
50e748ead7c3df413b001485,aesthetic,12.627486999999974,55.660106,Copenhagen,4,5,0.8,1
50e748ead7c3df413b001486,aesthetic,12.552131000000031,55.716287,Copenhagen,4,5,0.8,1
50f42b49fdc9f065f0001288,aesthetic,21.04909799999996,52.141892,Warsaw,1,5,0.2,0
50f42b49fdc9f065f000128f,aesthetic,21.147666000000072,52.233025,Warsaw,4,5,0.8,1
50f42b49fdc9f065f0001291,aesthetic,20.930591999999933,52.258587,Warsaw,3,3,1.0,1
50f42b4efdc9f065f0001293,aesthetic,20.925966000000017,52.253182,Warsaw,0,3,0.0,0
50f42b4ffdc9f065f0001295,aesthetic,20.97005000000001,52.202298,Warsaw,4,4,1.0,1
50f42b4ffdc9f065f000129b,aesthetic,21.062197999999967,52.151778,Warsaw,5,6,0.8333333333333334,1
